X     II     Red     II     Green     II     B     II     InTensity
54     II     103     II     87     II     98     II     96
55     II     101     II     85     II     96     II     94
56     II     101     II     85     II     96     II     94
57     II     101     II     85     II     96     II     94
58     II     102     II     84     II     96     II     94
59     II     102     II     84     II     96     II     94
60     II     102     II     84     II     96     II     94
61     II     102     II     84     II     96     II     94
62     II     104     II     83     II     98     II     95
63     II     105     II     82     II     98     II     95
64     II     105     II     80     II     99     II     95
65     II     105     II     80     II     101     II     95
66     II     104     II     79     II     100     II     94
67     II     103     II     80     II     100     II     94
68     II     101     II     79     II     100     II     93
69     II     98     II     79     II     99     II     92
70     II     96     II     78     II     100     II     91
71     II     94     II     79     II     100     II     91
72     II     94     II     79     II     102     II     92
73     II     94     II     79     II     102     II     92
74     II     94     II     78     II     104     II     92
75     II     94     II     76     II     102     II     91
76     II     93     II     75     II     101     II     90
77     II     93     II     73     II     100     II     89
78     II     94     II     74     II     102     II     90
79     II     95     II     74     II     105     II     91
80     II     97     II     73     II     109     II     93
81     II     97     II     72     II     111     II     93
82     II     97     II     73     II     107     II     92
83     II     94     II     73     II     104     II     90
84     II     92     II     73     II     105     II     90
85     II     91     II     71     II     106     II     89
86     II     89     II     71     II     109     II     90
87     II     88     II     70     II     110     II     89
88     II     88     II     67     II     110     II     88
89     II     87     II     64     II     108     II     86
90     II     92     II     66     II     111     II     90
91     II     95     II     65     II     117     II     92
92     II     95     II     60     II     124     II     93
93     II     103     II     65     II     140     II     103
94     II     116     II     73     II     162     II     117
95     II     118     II     70     II     182     II     123
96     II     128     II     73     II     218     II     140
97     II     133     II     72     II     237     II     147
98     II     147     II     81     II     253     II     160
99     II     141     II     74     II     249     II     155
100     II     145     II     76     II     253     II     158
101     II     143     II     76     II     254     II     158
102     II     139     II     74     II     252     II     155
103     II     134     II     73     II     252     II     153
104     II     136     II     78     II     255     II     156
105     II     121     II     70     II     237     II     143
106     II     102     II     59     II     201     II     121
107     II     105     II     69     II     195     II     123
108     II     100     II     64     II     186     II     117
109     II     98     II     64     II     176     II     113
110     II     95     II     64     II     157     II     105
111     II     91     II     62     II     144     II     99
112     II     86     II     59     II     136     II     94
113     II     85     II     59     II     132     II     92
114     II     84     II     58     II     129     II     90
115     II     83     II     58     II     124     II     88
116     II     82     II     58     II     118     II     86
117     II     83     II     60     II     116     II     86
118     II     84     II     61     II     115     II     87
119     II     84     II     61     II     115     II     87
120     II     84     II     61     II     115     II     87
121     II     81     II     61     II     114     II     85
122     II     79     II     59     II     112     II     83
123     II     75     II     57     II     109     II     80
124     II     74     II     56     II     106     II     79
125     II     73     II     57     II     106     II     79
126     II     75     II     59     II     106     II     80
127     II     77     II     61     II     108     II     82
128     II     76     II     58     II     108     II     81
129     II     76     II     58     II     110     II     81
130     II     74     II     57     II     111     II     81
131     II     74     II     57     II     112     II     81
132     II     72     II     57     II     116     II     82
133     II     72     II     56     II     118     II     82
134     II     72     II     56     II     118     II     82
135     II     71     II     57     II     118     II     82
136     II     72     II     56     II     118     II     82
137     II     72     II     56     II     118     II     82
138     II     72     II     56     II     118     II     82
139     II     75     II     56     II     120     II     84
